text,id,from_user,iso_language_code
RT @ItsJennaMarbles: Reports of Marathon Runners that crossed finish line and continued to run to Mass General Hospital to give blood to victims. #PrayforBoston,323906397609791488,sangyashrestha,en
RT @NBCSN: Reports of Marathon Runners that crossed finish line and continued to run to Mass General Hospital to give blood to victims #PrayforBoston,323906397618196483,ChelseaGilson,en
RT @NBCSN: Reports of Marathon Runners that crossed finish line and continued to run to Mass General Hospital to give blood to victims #PrayforBoston,323906397735641088,Blakstoise,en
RT @PeterBurnsRadio: RT @NBCSN: Reports of Marathon Runners that crossed finish line and continued to run to Mass General Hospital to give blood to victims #PrayforBoston,323906397853073410,markson,en
RT @NBCSN: Reports of Marathon Runners that crossed finish line and continued to run to Mass General Hospital to give blood to victims #PrayforBoston,323906397962121216,MarlyCakes85,en
RT @NBCSN: Reports of Marathon Runners that crossed finish line and continued to run to Mass General Hospital to give blood to victims #PrayforBoston,323906398012461057,_megannoelle_,en
RT @BusterBrown125: RT @NBCSN: Reports of Marathon Runners that crossed finish line and continued to run to Mass General Hospital to give blood to victims...,323906398230544385,StephStephGerl,en
RT @ItsJennaMarbles: Reports of Marathon Runners that crossed finish line and continued to run to Mass General Hospital to give blood to victims. #PrayforBoston,323906398314438656,Mollyx1D,en
@mrjakehumphrey @NBCSN: Reports of Marathon Runners that crossed finish line and continued to run to Mass General Hospital to give blood to victims #PrayforBoston,323906398352195585,ScottMitchell89,en
RT @leeodden: @Google - Google Person Finder Locates Missing at Boston Marathon Explosion http://t.co/8g9hHU2IUi,323906398423490561,EShibutani,en
RT @BBCBreaking: #Boston police confirm another explosion at city's JFK Library following two blasts near #marathon site http://t.co/MvWHPpxXQF,323906398176030720,ChloeWhittaker_,en
RT @NBCSN: Reports of Marathon Runners that crossed finish line and continued to run to Mass General Hospital to give blood to victims #PrayforBoston,323906398826164225,TooToughTodd5,en
RT @danwootton: There are reports of Boston Marathon runners crossing finish line and continuing to run to Hospital to give blood to victims (via @NBCSN),323906398993932289,rjparker18,en
RT @ItsJennaMarbles: Reports of Marathon Runners that crossed finish line and continued to run to Mass General Hospital to give blood to victims. #PrayforBoston,323906399149109248,Wichlinskayy,en
RT @NBCSN: Reports of Marathon Runners that crossed finish line and continued to run to Mass General Hospital to give blood to victims #PrayforBoston,323906399295926273,crazykittehcat,en
RT @HuffPostComedy: Wow. RT @NBCSN: Reports of Marathon Runners that crossed finish line and continued to run to Mass General Hospital to give blood to victims,323906399300100096,lydiajward,en
RT @MeredithFrost: Google Person Finder Locates Missing at Boston Marathon Explosion http://t.co/ArDkyWcCYi,323906482489921537,NowMGurl,en
Resource Google Person Finder Locates Missing at Boston Marathon Explosion http://t.co/6kuHCaG7N4 #Boston,323906484629032960,CrisisMappers,en
RT @kustoo: RT @RedCross: Thanks to generosity of volunteer blood donors there is currently enough blood on the shelves to meet demand. #BostonMarathon,323906483584655360,shegotgame,en
RT @RedCross: Thanks to generosity of volunteer blood donors there is currently enough blood on the shelves to meet demand. #BostonMarathon,323906485249789952,Lexi_iloveeyhuu,en
RT @BBCBreaking: #Boston police confirm another explosion at city's JFK Library following two blasts near #marathon site http://t.co/MvWHPpxXQF,323906567294562306,Giuggiulai,en
RT @lblecher: Official: Cellphone service shut down in Boston to prevent remote detonations of explosives http://t.co/esGDMM0Esk via @washingtonpost,323906650987692034,williams_paige,en
"RT @BostonGlobe: RT @ap: Cellphone service shut down in Boston to prevent remote detonations of explosives, official says: http://t.co/4ZsJgmNxuV -CC",323906651209994241,Hyrina,en
"RT @BostonGlobe: RT @ap: Cellphone service shut down in Boston to prevent remote detonations of explosives, official says: http://t.co/4ZsJgmNxuV -CC",323906653651079168,StarkidST,en
